,Experiment name:,Sample experiment
Duration:,5 0
Rate:,20 per second
Sensors:,Pulse (ID 1  Exp 1),Respiration (ID 1  Exp 1)
Range:,BPM,Arb
Units:,BPM,Arb
Time
'0:0:11.9,93,1641
'0:0:11.95,92,1641
'0:0:12.0,92,1643
'0:0:12.05,92,1648
'0:0:12.1,92,1655
'0:0:12.15,92,1661
'0:0:12.2,92,1668
'0:0:12.25,92,1676
'0:0:12.3,92,1684
'0:0:12.35,92,1692
'0:0:12.4,92,1700
'0:0:12.45,92,1708
'0:0:12.5,92,1716
'0:0:12.55,92,1722
'0:0:12.6,92,1729
'0:0:12.65,90,1736
'0:0:12.7,90,1744
'0:0:12.75,90,1753
'0:0:12.8,90,1763
'0:0:12.85,90,1768
'0:0:12.9,90,1769
'0:0:12.95,90,1766
'0:0:13.0,90,1761
'0:0:13.05,90,1757
'0:0:13.1,90,1752
'0:0:13.15,90,1747
'0:0:13.2,90,1743
'0:0:13.25,90,1740
'0:0:13.3,90,1734
'0:0:13.35,90,1730
'0:0:13.4,90,1728
'0:0:13.45,90,1728
'0:0:13.5,90,1730
'0:0:13.55,90,1731
'0:0:13.6,90,1732
'0:0:13.65,90,1733
'0:0:13.7,90,1732
'0:0:13.75,90,1730
'0:0:13.8,90,1726
'0:0:13.85,90,1722
'0:0:13.9,90,1716
'0:0:13.95,90,1710
'0:0:14.0,90,1703
'0:0:14.05,90,1697
'0:0:14.1,90,1693
'0:0:14.15,90,1692
'0:0:14.2,90,1691
'0:0:14.25,90,1689
'0:0:14.3,90,1685
'0:0:14.35,90,1682
'0:0:14.4,90,1678
'0:0:14.45,90,1677
'0:0:14.5,90,1675
'0:0:14.55,90,1673
'0:0:14.6,90,1670
'0:0:14.65,90,1668
'0:0:14.7,90,1665
'0:0:14.75,88,1662
'0:0:14.8,88,1660
'0:0:14.85,88,1660
'0:0:14.9,88,1661
'0:0:14.95,88,1661
'0:0:15.0,88,1661
'0:0:15.05,88,1660
'0:0:15.1,88,1658
'0:0:15.15,88,1657
'0:0:15.2,88,1655
'0:0:15.25,88,1655
'0:0:15.3,88,1654
'0:0:15.35,88,1653
'0:0:15.4,88,1651
'0:0:15.45,88,1650
'0:0:15.5,88,1648
'0:0:15.55,86,1647
'0:0:15.6,86,1649
'0:0:15.65,86,1652
'0:0:15.7,86,1657
'0:0:15.75,86,1660
'0:0:15.8,86,1663
'0:0:15.85,86,1669
'0:0:15.9,86,1676
'0:0:15.95,86,1682
'0:0:16.0,86,1690
'0:0:16.05,86,1696
'0:0:16.1,86,1703
'0:0:16.15,86,1709
'0:0:16.2,86,1716
'0:0:16.25,86,1721
'0:0:16.3,84,1726
'0:0:16.35,84,1733
'0:0:16.4,84,1742
'0:0:16.45,84,1750
'0:0:16.5,84,1758
'0:0:16.55,84,1764
'0:0:16.6,84,1767
'0:0:16.65,84,1765
'0:0:16.7,84,1762
'0:0:16.75,84,1758
'0:0:16.8,84,1753
'0:0:16.85,84,1748
'0:0:16.9,84,1744
'0:0:16.95,84,1739
'0:0:17.0,84,1732
'0:0:17.05,83,1726
'0:0:17.1,83,1720
'0:0:17.15,83,1716
'0:0:17.2,83,1713
'0:0:17.25,83,1709
'0:0:17.3,83,1704
'0:0:17.35,83,1699
'0:0:17.4,83,1696
'0:0:17.45,83,1693
'0:0:17.5,83,1690
'0:0:17.55,83,1688
'0:0:17.6,83,1686
'0:0:17.65,83,1685
'0:0:17.7,83,1682
'0:0:17.75,82,1679
'0:0:17.8,82,1677
'0:0:17.85,82,1676
'0:0:17.9,82,1677
'0:0:17.95,82,1677
'0:0:18.0,82,1676
'0:0:18.05,82,1675
'0:0:18.1,82,1674
'0:0:18.15,82,1672
'0:0:18.2,82,1670
'0:0:18.25,82,1670
'0:0:18.3,82,1669
'0:0:18.35,82,1667
'0:0:18.4,82,1665
'0:0:18.45,82,1662
'0:0:18.5,82,1658
'0:0:18.55,82,1655
'0:0:18.6,82,1653
'0:0:18.65,82,1654
'0:0:18.7,82,1654
'0:0:18.75,82,1652
'0:0:18.8,82,1650
'0:0:18.85,82,1649
'0:0:18.9,82,1648
'0:0:18.95,82,1648
'0:0:19.0,82,1651
'0:0:19.05,82,1654
'0:0:19.1,82,1659
'0:0:19.15,82,1666
'0:0:19.2,82,1672
'0:0:19.25,81,1677
'0:0:19.3,81,1685
'0:0:19.35,81,1693
'0:0:19.4,81,1702
'0:0:19.45,81,1711
'0:0:19.5,81,1718
